City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Visby,SE,80.85,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
253,Alghero,IT,82.49,scattered clouds,40.5589,8.3181,Villa Las Tronas Hotel & Spa
254,Scottsbluff,US,63.79,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
256,Griffith,US,69.73,overcast clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
257,Khorinsk,RU,71.58,overcast clouds,52.1657,109.7726,Uda
258,Naze,JP,77.95,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
259,Bjornevatn,NO,61.14,scattered clouds,69.6672,29.9847,Snowhotel Kirkenes & Gamme Northern Lights Cabins
261,Nevesinje,BA,68.81,overcast clouds,43.2586,18.1133,Prenoćište Nevesinje
263,Butler,US,72.52,mist,39.4501,-84.5666,Lake Bailee Recreational Park & Gun Range
265,Vallecillo,HN,65.79,scattered clouds,14.5167,-87.4,PUENTE RIO LA PUERTA
266,Mandan,US,69.78,clear sky,46.8267,-100.8896,Twin City Estates
268,Kodinar,IN,86.09,broken clouds,20.7903,70.7031,residency of N.B vadhel
269,Ati,TD,83.43,overcast clouds,13.2154,18.3353,
270,Lorengau,PG,81.84,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
272,Abhayapuri,IN,82.54,overcast clouds,26.3333,90.6667,Airtel Office
273,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
274,Erenhot,CN,84.15,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
275,Yanji,CN,74.1,clear sky,42.9075,129.5078,Holiday Inn Changbaishan Suites
276,Port Shepstone,ZA,66.2,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
277,Buckeye,US,85.12,overcast clouds,33.3703,-112.5838,Buckeye Motor Hotel
278,Washington,US,61.2,clear sky,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
279,Solnechnyy,RU,73.04,clear sky,50.7214,136.6319,Hotel complex Pastoral
280,Bom Jardim,BR,78.35,few clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
282,Springbok,ZA,66.9,clear sky,-29.6643,17.8865,Undulata Country Lodge
283,Mancora,PE,70.3,overcast clouds,-4.1078,-81.0475,Máncora Marina Hotel
285,Virginia Beach,US,83.01,few clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
286,Butembo,CD,70.97,light rain,0.15,29.2833,Hotel Butembo
288,Tashtyp,RU,63.59,broken clouds,52.7939,89.8983,Oblachnyye Glubiny Orden Gusu Lan'
290,Concarneau,FR,79.05,clear sky,47.875,-3.9225,Brit Hotel de L' Océan
292,Besikduzu,TR,82.29,clear sky,41.052,39.2284,YKT
293,Kyra,RU,60.93,light rain,49.5776,111.9753,
294,Hornepayne,CA,64.4,clear sky,49.2138,-84.7705,Jackfish River Inn
295,Kondinskoye,RU,69.04,broken clouds,59.6481,67.41,Gostinitsa
296,Maputo,MZ,71.1,clear sky,-25.9653,32.5892,Pestana Rovuma
297,Avera,US,76.87,overcast clouds,33.194,-82.5271,
298,Rio Verde De Mato Grosso,BR,72.27,scattered clouds,-18.9181,-54.8442,Hotel Valência
300,Kruisfontein,ZA,67.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
301,Taperoa,BR,74.62,overcast clouds,-7.2075,-36.8267,Construir material de construção
302,Chapais,CA,62.38,clear sky,49.7834,-74.8492,Hôtel Opémiska
303,Fairbanks,US,61.25,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
305,Taksimo,RU,75.54,overcast clouds,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
307,Lewistown,US,74.1,mist,40.5992,-77.5714,Quality Inn & Suites
308,Sampit,ID,74.79,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
309,Pokrovsk,UA,86.92,clear sky,48.282,37.1758,Druzhba
