City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
483,Nuuk,GL,64.1835,-51.7216,48.81,93,75,10.36,light intensity shower rain,2021-07-17 12:15:47
484,Huilong,CN,31.8111,121.655,81.99,90,83,11.97,broken clouds,2021-07-17 12:15:47
485,Opuwo,NA,-18.0607,13.84,78.6,26,0,16.98,clear sky,2021-07-17 12:15:47
486,Cabedelo,BR,-6.9811,-34.8339,74.07,77,17,11.83,few clouds,2021-07-17 12:15:47
487,Paita,PE,-5.0892,-81.1144,64.45,86,75,10.76,broken clouds,2021-07-17 12:15:48
488,Sola,VU,-13.8833,167.55,77.67,94,75,0.0,broken clouds,2021-07-17 12:15:48
489,Birjand,IR,32.8663,59.2211,97.27,11,40,6.91,scattered clouds,2021-07-17 12:15:48
490,Poya,NC,-21.35,165.15,70.48,82,1,2.33,clear sky,2021-07-17 12:15:49
491,Quatre Cocos,MU,-20.2078,57.7625,73.51,63,25,21.03,scattered clouds,2021-07-17 12:15:49
492,Portland,US,45.5234,-122.6762,62.58,81,75,3.44,broken clouds,2021-07-17 12:15:49
493,Tecolutla,MX,20.4833,-97.0167,80.46,93,100,4.23,overcast clouds,2021-07-17 12:15:50
494,Mount Isa,AU,-20.7333,139.5,49.77,43,72,6.91,broken clouds,2021-07-17 12:15:50
495,Kayerkan,RU,69.3497,87.7602,55.0,68,89,2.06,overcast clouds,2021-07-17 12:15:50
496,Aykhal,RU,66.0,111.5,60.71,68,65,8.37,broken clouds,2021-07-17 12:15:51
497,Penne,IT,42.4538,13.9299,68.14,90,96,1.5,heavy intensity rain,2021-07-17 12:15:51
498,Lahij,YE,13.1667,44.5833,93.13,35,100,5.44,overcast clouds,2021-07-17 12:15:51
499,Hoshangabad,IN,22.75,77.7167,95.52,43,100,10.98,overcast clouds,2021-07-17 12:15:51
500,Soure,BR,-0.7167,-48.5233,82.18,76,13,11.83,few clouds,2021-07-17 12:15:52
501,Koungheul,SN,13.9833,-14.8,92.53,48,61,6.76,broken clouds,2021-07-17 12:15:52
502,Magaria,NE,12.9983,8.9099,92.71,40,37,12.5,scattered clouds,2021-07-17 12:15:52
503,Yarada,IN,17.65,83.2667,88.12,74,40,8.05,scattered clouds,2021-07-17 12:15:53
504,Svetlyy,RU,54.675,20.1347,78.85,71,40,10.4,scattered clouds,2021-07-17 12:15:53
505,Arman,RU,59.7,150.1667,56.53,96,100,7.29,light rain,2021-07-17 12:15:53
506,Cherkasskoye,RU,52.4333,47.2167,88.43,40,13,2.21,few clouds,2021-07-17 12:15:54
507,Almaty,KZ,43.25,76.95,84.11,26,40,4.47,scattered clouds,2021-07-17 12:15:54
508,Lampang,TH,18.3333,99.5,87.71,58,40,6.91,scattered clouds,2021-07-17 12:15:54
509,Ust-Tsilma,RU,65.441,52.1498,69.62,56,91,7.29,overcast clouds,2021-07-17 12:15:55
510,Spisske Podhradie,SK,49.0009,20.7531,82.38,74,100,5.88,overcast clouds,2021-07-17 12:15:55
