City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Nkoteng,CM,2021-04-11 20:48:17,4.5167,12.0333,69.91,97,100,1.28
202,Pangody,RU,2021-04-11 20:48:17,65.85,74.4859,32.2,95,100,16.58
203,Camana,PE,2021-04-11 20:48:18,-16.6228,-72.7111,70.23,74,75,9.15
204,Progreso,MX,2021-04-11 20:48:18,21.2833,-89.6667,104.0,31,40,6.91
205,Ishigaki,JP,2021-04-11 20:46:54,24.3448,124.1572,72.91,78,94,18.75
206,Port Maria,JM,2021-04-11 20:48:18,18.3685,-76.8895,84.0,79,85,3.0
207,Los Llanos De Aridane,ES,2021-04-11 20:48:19,28.6585,-17.9182,68.0,77,0,2.66
208,Kurilsk,RU,2021-04-11 20:48:19,45.2333,147.8833,38.64,61,55,6.89
209,Tahe,CN,2021-04-11 20:48:19,52.3333,124.7333,20.03,46,100,5.73
210,Kuruman,ZA,2021-04-11 20:48:20,-27.4524,23.4325,71.13,35,0,4.83
211,Negombo,LK,2021-04-11 20:44:55,7.2083,79.8358,77.0,88,20,2.3
212,Chokurdakh,RU,2021-04-11 20:48:20,70.6333,147.9167,-12.96,97,59,9.82
213,Sharlyk,RU,2021-04-11 20:48:21,52.9167,54.75,39.92,92,10,7.14
214,Saint-Pierre,RE,2021-04-11 20:48:21,-21.3393,55.4781,77.0,78,0,6.91
215,Mareeba,AU,2021-04-11 20:48:21,-17.0,145.4333,71.6,94,3,2.3
216,Kwinana,AU,2021-04-11 20:48:22,-32.25,115.7667,64.4,100,90,12.66
217,Bethel,US,2021-04-11 20:48:22,41.3712,-73.414,59.0,82,90,6.91
218,Clyde River,CA,2021-04-11 20:46:20,70.4692,-68.5914,32.0,69,40,14.97
219,Praia,CV,2021-04-11 20:46:17,14.9215,-23.5087,75.2,53,0,21.85
220,Tecolutla,MX,2021-04-11 20:46:12,20.4833,-97.0167,87.8,55,40,9.22
221,Kodiak,US,2021-04-11 20:45:40,57.79,-152.4072,39.2,87,90,20.71
222,Kamenz,DE,2021-04-11 20:48:23,51.268,14.0937,55.99,87,20,10.36
223,Nemuro,JP,2021-04-11 20:48:23,43.3236,145.575,36.77,85,3,9.31
224,Nizhniy Tsasuchey,RU,2021-04-11 20:48:24,50.5167,115.1333,23.59,45,79,15.77
225,Auki,SB,2021-04-11 20:45:24,-8.7676,160.7034,77.61,86,99,3.18
226,Lagoa,PT,2021-04-11 20:46:11,39.05,-27.9833,61.86,84,100,9.64
227,Yulara,AU,2021-04-11 20:48:24,-25.2406,130.9889,59.0,51,7,9.22
228,Rosetta,EG,2021-04-11 20:48:25,31.4044,30.4164,59.0,55,40,11.5
229,Bemidji,US,2021-04-11 20:48:25,47.4736,-94.8803,48.99,66,90,8.05
230,Berlevag,NO,2021-04-11 20:47:23,70.8578,29.0864,33.8,80,40,27.63
231,Svetlyy,RU,2021-04-11 20:48:26,54.675,20.1347,51.8,62,0,8.95
232,Damaturu,NG,2021-04-11 20:48:26,11.747,11.9608,86.9,6,75,9.6
233,Urumqi,CN,2021-04-11 20:48:26,43.801,87.6005,48.2,21,0,6.71
234,Svetlaya,RU,2021-04-11 20:48:27,46.5389,138.3297,42.28,75,94,9.31
235,Boa Vista,BR,2021-04-11 20:48:27,2.8197,-60.6733,82.4,65,75,5.75
236,Mastic Beach,US,2021-04-11 20:48:28,40.7668,-72.8521,51.01,100,100,5.01
